Close,SMA14,SMA50,SMA14IND,SMA50IND,Bulls,CCI,DM,OSMA,RSI,Stoch,Decision
1.62563,1.62951,1.61106,0.00055,0.00029,-0.0025,-120,-0.1,-0.0005,0,-20,STRONGBUY
1.62627,1.62964,1.61158,0.00013,0.00052,-0.002,40,-0.1,-0.0005,0,10,STRONGBUY
1.62818,1.62952,1.61202,-0.00012,0.00044,0.002,60,0,0,0,10,STRONGBUY
1.63044,1.62950,1.61264,-0.00002,0.00062,0.00213,60,0.1,0.0005,10,10,BUY
1.63562,1.62974,1.61328,0.00024,0.00064,0.00487,120,0,0.0005,0,20,SELL
1.63184,1.63012,1.61402,0.00038,0.00075,-0.0025,-120,0.1,0,-10,0,STRONGBUY
1.63328,1.63036,1.61471,0.00024,0.00069,-0.0015,40,-0.1,0,10,0,STRONGBUY
1.63462,1.63074,1.61536,0.00038,0.00065,-0.0005,20,0.1,0.0005,0,-10,STRONGBUY
1.64056,1.63114,1.61617,0.00040,0.00081,0.00825,100,0,0.0005,0,10,STRONGSELL
1.64197,1.63163,1.61700,0.00049,0.00083,-0.00275,-20,0,0.0005,0,10,STRONGSELL
1.63769,1.63223,1.61783,0.00059,0.00082,0.00275,-100,0.1,0,0,-10,SELL
1.63675,1.63269,1.61859,0.00046,0.00076,-0.00775,-20,-0.1,-0.0005,0,-20,STRONGSELL
1.6377,1.63286,1.61939,0.00017,0.00080,0,20,0.1,0,0,-10,STRONGSELL
1.63614,1.63355,1.62030,0.00069,0.00091,-0.0015,-40,0,-0.0005,-10,-10,STRONGSELL
1.6324,1.63405,1.62119,0.00050,0.00089,-0.001,-80.05,0,-0.0005,0,0,SELL
1.63159,1.63453,1.62198,0.00048,0.00079,-0.0035,-19.95,-0.1,-0.0005,0,-10,STRONGSELL
1.62722,1.63491,1.62276,0.00038,0.00078,0.0005,-80,0,-0.0005,-10,-10,BUY
1.62947,1.63484,1.62346,-0.00007,0.00070,-0.0015,40,-0.1,0,0,10,STRONGSELL
1.62785,1.63478,1.62418,-0.00007,0.00072,0.001,0,-0.1,-0.0005,0,0,WAIT
1.6296,1.63422,1.62471,-0.00056,0.00053,-0.0005,40,0,0.0005,0,10,STRONGSELL
1.62531,1.63406,1.62525,-0.00016,0.00053,0.002,-60,0,-0.0005,0,0,STRONGSELL
1.62846,1.63349,1.62570,-0.00057,0.00045,-0.0015,60,0,0.0005,0,10,STRONGSELL
1.61385,1.63305,1.62623,-0.00044,0.00053,0.0015,-130,-0.2,-0.001,-10,-30,STRONGBUY
1.62161,1.63114,1.62632,-0.00191,0.00009,-0.005,90,0,0.0005,10,20,WAIT
1.62221,1.62969,1.62660,-0.00145,0.00029,0.0015,20,-0.1,0,0,0,WAIT
1.61948,1.62858,1.62672,-0.00111,0.00011,0,-20,0.1,0,0,10,STRONGBUY
1.62078,1.62735,1.62685,-0.00123,0.00014,0,40,-0.1,0.0005,0,0,STRONGSELL
1.62219,1.62614,1.62704,-0.00121,0.00019,0.003,19.95,0.1,0.0005,0,10,STRONGSELL
1.62428,1.62514,1.62726,-0.00100,0.00022,0.00387,40.05,0.1,0.0005,0,10,STRONGSELL
1.60978,1.62456,1.62756,-0.00058,0.00031,-0.00137,-180,0,-0.0005,-10,-20,BUY
1.61287,1.62301,1.62752,-0.00156,-0.00004,-0.0085,60,0,0,0,-10,WAIT
1.61121,1.62198,1.62749,-0.00103,-0.00003,0.0005,0,0,-0.0005,0,-20,STRONGBUY
1.61196,1.62068,1.62741,-0.00130,-0.00009,0.0005,40,0,0.00025,0,10,STRONGBUY
1.61289,1.61954,1.62731,-0.00114,-0.00010,0.0013,20,0,0.00025,0,0,STRONGBUY
1.61696,1.61835,1.62723,-0.00119,-0.00008,0.0032,60,0,0.0005,10,10,STRONGBUY
1.61841,1.61775,1.62726,-0.00060,0.00004,0.002,40,0.1,0.0005,0,30,STRONGBUY
1.62421,1.61703,1.62720,-0.00072,-0.00006,0.0045,60,0.2,0.001,10,30,WAIT
1.62453,1.61777,1.62721,0.00074,0.00001,0.0005,0,0,0.0005,0,0,STRONGSELL
1.62381,1.61798,1.62714,0.00021,-0.00007,0.0005,0,0,0.0005,0,-10,STRONGSELL
1.62323,1.61810,1.62705,0.00011,-0.00009,-0.0025,-20,0,0,0,0,STRONGSELL
1.61179,1.61837,1.62697,0.00027,-0.00008,0.0025,-140,-0.1,-0.0005,-20,-30,STRONGBUY
1.61259,1.61772,1.62660,-0.00064,-0.00037,-0.011,19.95,0,-0.001,10,-20,WAIT
1.61541,1.61704,1.62629,-0.00069,-0.00032,0.0035,40.05,0,0,0,-10,SELL
1.61496,1.61640,1.62603,-0.00063,-0.00025,-0.001,-20,0.1,-0.0005,0,0,STRONGBUY
1.61321,1.61677,1.62575,0.00037,-0.00028,0,-20.05,0,0,0,10,STRONGBUY
1.61402,1.61680,1.62534,0.00002,-0.00041,-0.001,0,0,0,0,0,STRONGBUY
1.62069,1.61700,1.62495,0.00020,-0.00039,0.008,100.05,0.1,0.0005,10,20,SELL
1.61898,1.61762,1.62474,0.00062,-0.00021,0.0015,-40,0,0,-10,10,BUY
1.61729,1.61806,1.62443,0.00043,-0.00031,-0.00305,-20,-0.1,0.0005,0,0,BUY
1.6177,1.61808,1.62422,0.00002,-0.00021,-0.00145,0,0,0,0,-10,STRONGBUY
1.6207,1.61803,1.62399,-0.00005,-0.00023,0.001,60,-0.1,0,10,0,WAIT
1.62015,1.61778,1.62389,-0.00025,-0.00010,0.0015,0,0,0,0,10,STRONGSELL
1.62343,1.61747,1.62377,-0.00031,-0.00012,0.004,80,0.1,0.0005,0,0,STRONGSELL
1.62102,1.61744,1.62367,-0.00003,-0.00009,-0.002,-40,0,0,0,0,STRONGSELL
1.61306,1.61728,1.62349,-0.00016,-0.00019,-0.0035,-180,0,-0.001,-10,-20,BUY
1.61231,1.61737,1.62303,0.00009,-0.00045,-0.00699,-20,0,-0.0005,0,-20,BUY
1.6134,1.61735,1.62264,-0.00002,-0.00039,0.00149,40,0,0,0,-20,STRONGSELL
1.61498,1.61721,1.62225,-0.00014,-0.00040,0.0015,19.95,0,0,0,10,STRONGSELL
1.61473,1.61721,1.62185,0.00000,-0.00039,0.002,0,0,-0.00025,0,10,STRONGSELL
1.60461,1.61732,1.62134,0.00011,-0.00052,0,-149.95,-0.1,-0.00075,-10,0,STRONGSELL
1.6011,1.61665,1.62059,-0.00067,-0.00075,-0.0075,0,-0.1,-0.0005,0,-10,STRONGSELL
1.59827,1.61525,1.61986,-0.00140,-0.00073,-0.003,10,-0.1,-0.0005,-10,-10,STRONGSELL
1.59451,1.61377,1.61909,-0.00148,-0.00077,nan,20,0,-0.0005,0,0,SELL
1.59534,1.61214,1.61822,-0.00163,-0.00086,0,40,0,0,0,0,SELL
1.58595,1.61054,1.61741,-0.00160,-0.00082,0.00625,-20,0,-0.0005,0,0,STRONGBUY
1.59317,1.60806,1.61648,-0.00248,-0.00093,-0.002,60,0,0.0005,10,10,BUY
1.59374,1.60613,1.61571,-0.00193,-0.00077,0.0025,20,-0.1,0.0005,0,20,BUY
1.59628,1.60401,1.61504,-0.00212,-0.00067,0.0015,19.95,0,0.0005,0,30,STRONGSELL
1.59536,1.60225,1.61438,-0.00177,-0.00066,0.00047,0,0.1,0.001,0,10,WAIT
1.59551,1.60098,1.61373,-0.00126,-0.00065,0.00153,20.05,0,0.0005,0,10,BUY
1.59231,1.59978,1.61305,-0.00120,-0.00068,0.0005,-40,0,0,0,-10,STRONGBUY
1.59555,1.59828,1.61239,-0.00151,-0.00066,0.0005,40,-0.1,0.0005,0,-10,BUY
1.59752,1.59689,1.61173,-0.00139,-0.00066,0.0025,80,0,0.0005,10,0,STRONGBUY
1.59765,1.59566,1.61140,-0.00123,-0.00033,-0.001,20,0.1,0.0005,0,10,BUY
1.59803,1.59516,1.61092,-0.00050,-0.00048,0.002,20,0.1,0,0,0,SELL
1.60247,1.59494,1.61044,-0.00022,-0.00048,0.0025,100,0.1,0.0005,0,10,STRONGSELL
